pdes,tp,q,e,w,om,i,M1,K1,source
1P,2446467.395317050925,0.585978111516909,0.967142908462304,111.3324851045177,58.42008097656843,162.262690579161,5.5,8.0,ORB
2P,2457822.535936417601,.335952494797604,.8483382729765039,186.5472003443357,334.5677708192998,11.78139851776297,15.4,4.5,ORB
4P,2456808.554870816063,1.636631288894064,.5722786540693772,204.8912813146638,199.0372567234133,9.139832827715191,10.7,9.75,ORB
6P,2457083.917181224838,1.361454794463017,.6114219691454721,178.1149924712362,138.9337390849025,19.48172323524099,15.7,9.5,ORB
7P,2457053.028739400462,1.239212591639642,.6375300778850711,172.506642991884,93.41608186346195,22.334968693908,15.9,5.,ORB
8P,2454492.521418305663,1.027130339249029,.8198131304213552,207.5057205748724,270.3413075480877,54.98284402884136,14.8,4.5,ORB
9P,2457603.090875602031,1.542572978351424,.509588468064943,179.2123960149718,68.74889841631139,10.47400282151021,12.3,10.25,ORB
10P,2455382.197625398837,1.42171535878565,.5362378828622508,195.5923514793116,117.8016224326666,12.02471950417685,14.0,5.75,ORB
11P,2459179.497577810404,1.389752619959597,.5774403918911596,167.7584807340938,238.9908765179936,14.43689229260524,15.3,19.5,ORB
12P,2434885.675931168748,.7780186522514184,.9542202409863804,199.0936340963835,255.9595132752626,74.7037493144222,5.,15.0,ORB
13P,2435643.635331048669,1.17845061442612,0.930297147462082,64.64120651677283,86.10312835462277,44.609885733805,5.,15.0,ORB
14P,2454890.107098803388,2.728800509097144,.357453296269419,159.1964068959347,202.1079779976616,27.94263968532118,15.7,4.5,ORB
15P,2457018.555397428234,.9758889998387024,.7201979505563714,347.5522252398067,13.7796260511633,6.798817041852251,14.9,8.25,ORB
16P,2456816.302229537066,1.466759752921053,.5633242955491975,219.7611729190155,159.2789013975028,4.262117713606149,12.1,13.5,ORB
17P,2456744.073572136278,2.059327690719232,.4314598879531091,24.62803037435904,326.765575427377,19.09069262329832,8.8,15.75,ORB
19P,2454670.541770478947,1.350947286360516,.6252926118890205,353.3663277100644,75.39324587964363,30.36080957172112,8.7,17.75,ORB
21P,2458371.765469259133,1.013493750730936,.7104667848114644,172.8091596458073,195.4051449504903,32.00303376160798,13.1,8.5,ORB
22P,2454976.188243411304,1.57508210658526,.5443633012114593,162.6695310861991,120.868877517193,4.724943831825192,11.6,9.5,ORB
23P,2447781.437433134682,0.4787527107248574775866,0.9719522579248509597249,129.6106836788667,311.5854622141069,19.333940469818628571374,7.8,8.0,ORB
24P,2458074.260817116701,1.20616902407146,.7048377385790582,58.00232148852397,79.66577775476655,11.73397999992298,12.0,16.,ORB
26P,2454549.179024563690,1.116736323909562,.6330527671345312,1.704070781269587,211.710319637668,22.35649066304651,15.1,14.,ORB
27P,2455777.391090241354,.748287467144728,.9189810923126022,196.0253968913816,250.6264098390235,28.96687278723059,12.8,28.,ORB
28P,2459291.186835030920,1.56838600212626,.773511441751624,347.7261763244348,346.33123150,14.36026896811281,13.3,4.5,ORB
29P,2458579.837650440731,5.732203730836146,.04416041189671099,50.38246460405631,312.5818794349153,9.380252566068117,8.6,4.5,ORB
30P,2455306.265648905711,1.880973739593776,.5016105669476711,13.14619850371807,119.7278627210677,8.126270446090473,13.6,7.,ORB
31P,2455468.957210659360,3.424313358172445,.1929518908135903,17.93006801410605,114.1876326212957,4.546486710364198,7.2,17.5,ORB
32P,2456950.200887307141,2.008565194966582,.5546485799036236,53.30658848884395,57.84360276824752,9.968516517217138,11.0,9.,ORB
33P,2454667.910907101548,2.166723120715797,.4623600611807658,18.90526683076218,66.54082976573451,22.3861472280879,15.2,4.5,ORB
35P,2429484.964,0.74849,0.97405,29.298,355.980,64.207,8.3,10,
36P,2455928.530418648670,3.089690220166096,.2581225115392041,201.9923345834606,182.3899473052351,9.935056394428832,11.4,11.5,ORB
37P,2458242.647349521037,1.608855680101205,.5344761599834154,330.0004370065654,314.6395769323095,8.962054270441827,11.5,16.25,ORB
38P,2458433.487343535866,1.588505048173736,.859286285876197,359.5886765534911,78.00036419278668,18.3529465228447,11.5,9.5,ORB
39P,2445503.450232904525,5.453033856983636,.2436393769380302,56.12275197362448,332.1180878201394,1.950747562018238,7.0,14.75,ORB
40P,2456977.342350093810,1.819771156172117,.6316152020645802,47.28885502172881,133.8401678570807,11.49264281940788,11.7,13.,ORB
41P,2457856.252254856775,1.0450427369138,.6612506884287184,62.15858521740492,141.066286210229,9.229131696230207,15.3,17.,ORB
42P,2457120.709553900616,2.027755196838527,.5841747519155726,147.120393793131,150.279966816504,3.984591946246174,13.2,15.,ORB
43P,2457619.917983949982,1.357094479295572,.5949096247356784,191.5591866853453,249.8663360818902,15.97248249331635,8.6,17.,ORB
