pdes,tp,q,e,w,om,i,M1,K1,orbit_id
1P,2446470.148898345376,.5747157977675837,.9679427911270999,112.257792004868,59.11448293673941,162.1878711908339,5.5,8.0,JPL 73
2P,2457822.586943886890,.3358996746025485,.848345326780044,186.5570090066091,334.5641058483116,11.7793773561147,15.6,4.5,JPL K235/24
4P,2459463.191592441024,1.578038523659062,.5844825149811913,205.9925126008026,194.8000581207003,8.159953029127585,11.0,9.5,JPL K212/31
6P,2459475.289294548276,1.354585254479242,.6126701232429161,178.1064598500486,138.9371003258597,19.51243094515556,15.9,8.5,JPL K212/13
7P,2457053.027488080850,1.239198689611528,.6375712425875647,172.5055336098141,93.41561018941695,22.33463826457564,16.0,4.5,JPL 30
8P,2454492.518015469346,1.027263094466541,.8197876162331501,207.5115175085094,270.3421615706648,54.98196882510133,14.6,4.5,JPL K215/24
9P,2457603.060569568202,1.542449288110049,.5097934583806997,179.1886371578321,68.7634651234371,10.47324079792451,12.8,9.25,JPL K223/36
10P,2455381.900838551337,1.421073611943043,.5363407586870513,195.5503811987826,117.80217678,12.02670270585151,14.3,5.25,JPL K214/43
11P,2459179.514127334481,1.389708453332897,.5774221354420226,167.7673742105794,238.9870234501607,14.43558220683607,15.2,20.,JPL K204/12
12P,2460421.650865205909,.7810303985478346,.9545314004064006,198.9855499176912,255.8484573629339,74.18844459955007,5.,15.0,JPL K242/36
13P,2460489.320069056286,1.156827611120747,.9305208137754358,64.58162220965261,86.05114914798894,44.63547237179048,7.7,18.25,JPL 13
14P,2454890.107098803388,2.728800509097144,.357453296269419,159.1964068959347,202.1079779976616,27.94263968532118,15.7,4.5,JPL K174/9
15P,2457018.572638765865,.9766869829698374,.7201854351765701,347.6257490138329,13.75387564025031,6.800480636131514,15.0,8.25,JPL K213/16
16P,2456823.268704640383,1.454508132180911,.5689747294286532,220.1660459205524,159.3430174044605,4.30689945969963,12.2,13.5,JPL K212/7
17P,2456743.220301301519,2.066329253220024,.4301548250677266,24.73850750256396,326.7738083768458,19.0703590023508,9.4,14.75,JPL K212/33
19P,2459612.262261860076,1.306011016490512,.6379196509967269,351.8606875545229,74.3024414777589,29.31940320796265,9.8,14.75,JPL K222/14
21P,2458371.765469259133,1.013493750730936,.7104667848114644,172.8091596458073,195.4051449504903,32.00303376160798,13.1,8.5,JPL K182/14
22P,2459656.394299117323,1.554834847079416,.5485999660053598,162.9112665414216,120.8359979370415,4.73978745796747,11.9,9.75,JPL K222/35
23P,2447781.437433134682,0.4787527107248574775866,0.9719522579248509597249,129.6106836788667,311.5854622141069,19.333940469818628571374,7.8,8.0,JPL 13
24P,2458074.260817116701,1.20616902407146,.7048377385790582,58.00232148852397,79.66577775476655,11.73397999992298,12.0,16.,JPL K173/9
26P,2454549.213597815783,1.112198276641873,.6339236684420211,1.635708949076988,211.6412756217135,22.40700482624807,16.8,5.,JPL K234/9
27P,2455776.067845756339,.7342100902931331,.9192598738413603,195.9554453537227,250.9593527477335,29.22111461111518,12.7,27.75,JPL 6
28P,2459285.258894261226,1.580917802198208,.7735624447726844,347.4674298878155,346.3446617470269,14.31027133087836,13.2,4.5,JPL 74
29P,2458593.292167094456,5.776533212251606,.04475336041950449,50.91331805745789,312.3941494996202,9.36406979103401,10.1,4.5,JPL K192/80
30P,2455306.388963299444,1.880469236420931,.5017178362338411,13.14526385708305,119.7267362359356,8.127148933061045,13.6,6.75,JPL K243/5
31P,2455468.957210659360,3.424313358172445,.1929518908135903,17.93006801410605,114.1876326212957,4.546486710364198,7.2,17.5,JPL K193/22
32P,2456948.016173569553,2.000877416983606,.556169706605429,53.32056620477283,57.82999317846528,9.969697598219515,10.4,10.75,JPL K242/3
33P,2454667.971563221273,2.166352466794279,.4624304295345443,18.90230805402269,66.53951021951877,22.38780954782329,15.4,4.5,JPL K163/8
35P,2429484.964,0.74849,0.97405,29.298,355.980,64.207,8.3,10,SAO/1939
36P,2455927.981007798779,3.089225923587557,.2582250337412331,201.9559736717388,182.3912261042491,9.935343393601725,10.5,13.25,JPL 24
37P,2458242.647349521037,1.608855680101205,.5344761599834154,330.0004370065654,314.6395769323095,8.962054270441827,11.5,16.25,JPL K182/10
38P,2458433.487343535866,1.588505048173736,.859286285876197,359.5886765534911,78.00036419278668,18.3529465228447,11.5,9.5,JPL 22
39P,2460038.405581523947,5.702220310895506,.2293325146529492,88.70051288508857,304.5833580651899,1.470359413259978,7.1,14.75,JPL 19
40P,2456977.342350093810,1.819771156172117,.6316152020645802,47.28885502172881,133.8401678570807,11.49264281940788,11.7,13.,JPL K148/7
41P,2457856.252753191920,1.045042251666905,.6612663305561262,62.16467939460709,141.0607686100529,9.228526743195671,16.9,4.5,JPL K222/4
42P,2457120.709553900616,2.027755196838527,.5841747519155726,147.120393793131,150.279966816504,3.984591946246174,13.2,15.,JPL K155/2
43P,2457619.920556712333,1.357100414266257,.5949080126772412,191.5593055349412,249.8662790412355,15.97242962683691,8.6,17.,JPL K162/9
44P,2457105.166584156352,2.11765239694958,.4262212827081967,58.18411195753996,286.4626367814024,5.897366802167757,14.4,4.5,JPL K223/44
45P,2457753.784148116650,.532650151526285,.8239960779465374,326.3441984051743,88.93460245064746,4.248170541497252,13.7,22.,JPL K222/7
46P,2458465.431202570111,1.05535576787092,.6587596770533763,356.3410945106113,82.15763905085032,11.74759178469362,16.6,4.75,JPL K181/24
47P,2454863.899506666826,2.802020364579447,.318835724884545,357.8423357451096,356.9846339717133,13.05253727504212,12.0,7.,JPL K257/4
48P,2455833.482377712278,2.302340810413068,.3678139209714429,207.8320881617276,117.2876041559334,13.66065688238793,9.8,14.5,JPL 70
49P,2455853.578823990058,1.423830000817358,.6003406441758035,332.7904031799862,118.8764631316513,19.05038125926099,14.3,5.5,JPL K254/11
50P,2454406.019376746674,1.921905377858605,.5298755100129509,49.01284921049042,355.3249286178118,19.16250741987088,13.9,8.75,JPL K244/3
51P,2457246.911296064427,1.699111770189654,.5420451652003949,269.1635641515291,83.71771047129802,5.423651904070583,18.6,4.5,JPL K222/3
51P-A,2452066.193347687348,1.568096864999769,.5620663599153678,233.587839407905,119.1877795469232,8.654956945930117,10.6,15.,JPL 8
51P-D,2459855.208008492353,1.697254316817907,.542449283991264,269.2318496152992,83.68268363141401,5.425130539472045,18.5,5.75,JPL K222/5
52P,2456723.865944140542,1.774978317162905,.5400628759377051,139.659148838801,336.8361209663842,10.23173068264524,11.8,16.,JPL K212/19
53P,2457509.314299280832,2.42633018945627,.5510595322517781,134.2640135397485,148.8981965355178,6.611181453269761,10.0,9.75,JPL K162/9
54P,2455164.070121110307,2.1717640349767100005351,0.4270474945217546114406,1.933331420129209,358.8600316230779,6.0671607093682196065742,13.1,14.,JPL 22
